X,Y,PORTARV,icon_url
-48.6856135562761,-27.6265285476341,"2",./1.png
-48.6856135562761,-27.6265285476341,"2",./1.png
-48.6855379357281,-27.6264652708092,"2",./1.png
-48.6855589414359,-27.6263945496088,"2",./1.png
-48.6854917231711,-27.6263759387589,"2",./1.png
-48.6854497117555,-27.6263163840183,"2",./1.png
-48.6854287060478,-27.6262642735936,"2",./1.png
-48.6854203037646,-27.6262047187922,"2",./1.png
-48.6854119014815,-27.6261526083143,"2",./1.png
-48.6855068359126,-27.6260490521706,"2",./1.png
-48.6856025684392,-27.6260066429951,"2",./1.png
-48.6856683845512,-27.6259589326531,"2",./1.png
-48.6857282173803,-27.6259854384013,"2",./1.png
-48.6857940334923,-27.6258794153703,"2",./1.png
-48.6858897660189,-27.6258158015024,"2",./1.png
-48.6859854985455,-27.6257839945546,"2",./1.png
-48.6851892299382,-27.6259413502422,"3",./0.png
-48.6854294918185,-27.6257955484202,"3",./0.png
-48.685245181335,-27.625611837848,"3",./0.png
-48.6851793561623,-27.625562265101,"3",./0.png
-48.6853241715422,-27.6255331046512,"3",./0.png
-48.6852320163005,-27.6254631195399,"2",./1.png
-48.6850641621101,-27.6257459757565,"1",./2.png
-48.6850773271447,-27.6256614105724,"1",./2.png
-48.685011501972,-27.625649746404,"1",./2.png
-48.684975298127,-27.6255826774113,"2",./1.png
-48.6849259292475,-27.6255360206965,"1",./2.png
-48.6849621330925,-27.6254631195399,"1",./2.png
-48.6848864341439,-27.6254631195399,"1",./2.png
-48.684840356523,-27.6254077146283,"1",./2.png
-48.6849028904371,-27.6253318973356,"1",./2.png
-48.6848074439367,-27.6253085689272,"1",./2.png
-48.6847712400917,-27.6252502478846,"1",./2.png
-48.6847218712122,-27.6251481859853,"1",./2.png
-48.6846395897463,-27.6250286276393,"3",./0.png
-48.6846198421945,-27.6249382297789,"2",./1.png
-48.6845507257632,-27.6249149012867,"2",./1.png
-48.6845112306596,-27.6248507479074,"2",./1.png
-48.6844980656251,-27.624795342686,"1",./2.png
-48.6844421142283,-27.6247282731699,"2",./1.png
-48.6844256579351,-27.6246553714753,"2",./1.png
-48.684372997797,-27.6246145465052,"2",./1.png
-48.6843400852106,-27.6245737215198,"2",./1.png
-48.6842972988484,-27.6245241483029,"3",./0.png
-48.6842643862621,-27.6244687429162,"3",./0.png
-48.6842281824171,-27.6244133375014,"3",./0.png
-48.6841557747272,-27.6243987571244,"3",./0.png
-48.6840734932613,-27.6243520999051,"3",./0.png
-48.6840932408131,-27.6243929249731,"3",./0.png
-48.6840109593473,-27.62433751952,"3",./0.png
-48.6839714642437,-27.6243112748219,"3",./0.png
-48.6839089303296,-27.6242966944313,"3",./0.png
-48.6842215998998,-27.6241129813439,"3",./0.png
-48.6844026191247,-27.6242850301175,"3",./0.png
-48.6841952698308,-27.624372512441,"3",./0.png
-48.6841228621408,-27.6243112748219,"1",./2.png
-48.6844585705215,-27.6245795536615,"1",./2.png
-48.6844914831078,-27.6246991124979,"1",./2.png
-48.6847712400917,-27.6249761385682,"3",./0.png
-48.6847613663158,-27.6247865944905,"2",./1.png
-48.6848436477817,-27.6248157551392,"1",./2.png
-48.6849687156098,-27.6249353137176,"1",./2.png
-48.6849785893857,-27.6250461239908,"1",./2.png
-48.6850312495238,-27.6251073611989,"1",./2.png
-48.685074035886,-27.6251860947018,"1",./2.png
-48.6851892299382,-27.6253493936386,"1",./2.png
-48.6852287250418,-27.6251977589197,"1",./2.png
-48.6852583463695,-27.6252648281482,"1",./2.png
-48.68528138518,-27.6253114849785,"1",./2.png
-48.6852879676972,-27.625358141789,"1",./2.png
-48.6853241715422,-27.6254047985796,"2",./1.png
-48.6854656956635,-27.6254893639619,"2",./1.png
-48.6855084820257,-27.6255476848771,"2",./1.png
-48.6855644334225,-27.6256001736742,"1",./2.png
-48.6855644334225,-27.6256001736742,"1",./2.png
-48.6855940547502,-27.6256672426562,"1",./2.png
-48.6855940547502,-27.6257488917961,"1",./2.png
-48.6848206089712,-27.6250344597568,"1",./2.png
-48.6850049194547,-27.6246961964303,"1",./2.png
-48.6850312495238,-27.6247341053033,"1",./2.png
-48.6849259292475,-27.6246087143654,"2",./1.png
-48.6848732691094,-27.6245124840133,"2",./1.png
